GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
crud-system,com.sistema,CrudSystemApplication,5,3,0,0,2,1,1,1,1,1
crud-system,com.sistema.domain,PersonId,0,15,0,2,0,4,0,2,0,1
crud-system,com.sistema.domain,Person,0,80,0,10,0,13,0,9,0,4
crud-system,com.sistema.domain,Email,0,27,0,6,0,6,0,4,0,1
crud-system,com.sistema.domain,Age,0,16,0,4,0,4,0,3,0,1
crud-system,com.sistema.exception,InvalidEmailException,0,4,0,0,0,2,0,1,0,1
crud-system,com.sistema.exception,SystemFailureException,4,5,0,0,2,2,1,1,1,1
crud-system,com.sistema.exception,InvalidAgeException,0,4,0,0,0,2,0,1,0,1
crud-system,com.sistema.exception,DuplicatePersonException,0,4,0,0,0,2,0,1,0,1
crud-system,com.sistema.exception,PersonNotFoundException,0,4,0,0,0,2,0,1,0,1
crud-system,com.sistema.service,PersonService,5,165,1,13,1,50,1,20,0,14
crud-system,com.sistema.util,PersonMapper,0,43,0,0,0,11,0,3,0,3
crud-system,com.sistema.web.dto,ErrorDto,5,12,2,2,1,3,2,1,0,1
crud-system,com.sistema.web.dto,PersonDto,0,46,0,0,0,20,0,10,0,10
crud-system,com.sistema.repository,InMemoryPersonRepository,0,39,0,0,0,9,0,6,0,6
crud-system,com.sistema.web.config,WebConfig,0,12,0,0,0,3,0,3,0,3
crud-system,com.sistema.web.controller,PersonController,63,143,1,3,22,37,2,8,1,7
